Wall time,Step,Value
1584709866.0966527,0,0.7665764093399048
1584711753.6472309,1,0.8267499804496765
1584713664.1687486,2,0.8511597514152527
1584715579.1729043,3,0.8699027895927429
1584717483.711222,4,0.8864583373069763
1584719427.616315,5,0.8973055481910706
1584721399.0890357,6,0.9051041603088379
1584723359.4270108,7,0.9119444489479065
1584725237.412733,8,0.917388916015625
1584727129.4765604,9,0.9221110939979553
1584728980.4539552,10,0.9272847175598145
1584730845.9814541,11,0.9305208325386047
1584732696.568656,12,0.9347916841506958
